Galaxy,n_points,n_valid_mond,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,T,D,e_D,f_D,Inc,e_Inc,L3.6,e_L3.6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Qual,Ref,ba_obs,geometry_source,inc_true_deg,k_inc,velocity_shift_pct,correction_source_used,geometry_qc_flag,geometry_qc_reason,distance_edge_best_margin_shift,distance_edge_best_mode,distance_edge_flipped,best_ml_scale,ml_best_margin_shift,ml_flipped,distance_rel_err,distance_rel_err_pct,gas_to_light_proxy,gas_surface_proxy,pathology_group,n_rc_valid,gas_peak_radius_kpc,gas_peak_value,gas_outer_to_inner_ratio,gas_abs_slope_outer_mean,gas_abs_slope_outer_median,gas_abs_curvature_outer_mean,gas_abs_curvature_outer_median,vgas_high_freq_power_frac,vgas_smoothness_score
NGC5055,28,28,3463.2267528494544,8569.17656958872,5105.949816739267,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",0.6025595860743578,hyperleda_vizier,53.77652012423312,1.015412854904321,1.5412854904321316,hyperleda_vizier,ok,,,,,,,,0.0303030303030303,3.03030303030303,0.0766534573181098,1.1447265624999998,acm_better_102,28,17.19,2233.5076,4.216232086687687,0.7718339953355587,0.7605315952495353,7.622153370878821,7.293354545184261,0.0276586843608655,0.9723413156391344
UGC03546,30,30,57.39415951764806,781.6659455186543,724.2717860010063,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",0.6309573444801932,hyperleda_vizier,51.39485716427571,1.048226855505066,4.8226855505066,hyperleda_vizier,ok,,,,,,,,0.2508710801393728,25.08710801393728,0.0263973316491671,0.1862281660528679,acm_better_102,20,18.08,1222.2016,33.72101070974617,1.8401070829073127,1.4655684603557997,9.828466708878064,8.173212477612154,0.0101798409173896,0.9898201590826105
NGC5371,19,19,309.5294227588673,1012.9745201870116,703.4450974281442,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",0.660693448007596,hyperleda_vizier,49.35733787077215,1.0525167149730732,5.25167149730732,hyperleda_vizier,ok,,,,,,,,0.2498740554156171,24.98740554156171,0.0328443886918943,0.2019742166724476,acm_better_102,13,23.12,3341.9961000000003,1.0989257322008694,1.2402606715718718,1.1895597850656705,2.902203751111025,3.683152516559521,0.0091156831773339,0.990884316822666
UGC09133,68,68,107.68168949292944,669.8407891792873,562.1590996863579,2,57.1,11.4,1,53.0,6.0,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,"No07,No05",0.5623413251903491,hyperleda_vizier,56.40028711249799,0.9588335752570736,-4.116642474292642,hyperleda_vizier,ok,,,,,,,,0.1996497373029772,19.96497373029772,0.1181510359599329,0.6880893519881269,acm_better_102,65,83.07,3020.6016,8.62617224842072,0.7614541535461737,0.6613487333962098,7.525663246516872,6.459378430335439,0.0397121946182111,0.9602878053817888
NGC2903,34,34,195.66969732795536,736.4403672571121,540.7706699291568,4,6.6,1.98,1,66.0,3.0,81.863,0.151,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,"Be91,Be87",0.457088189614875,hyperleda_vizier,64.03414383326118,1.016117294092462,1.6117294092461876,hyperleda_vizier,ok,,,,,,,,0.3,30.0,0.0311740346676764,0.4700768111403783,acm_better_102,34,12.48,1433.3796,4.041519515988262,0.9096788307044856,0.7192064641749454,6.044571750737624,4.485365034147386,0.0250917080694291,0.9749082919305708
NGC5907,19,19,9.364976362568209,505.3177780023838,495.9528016398156,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",0.1258925411794167,hyperleda_vizier,90.0,0.9993908270190958,-0.0609172980904237,hyperleda_vizier,ok,,,,,,,,0.0520231213872832,5.202312138728324,0.1198517885136098,0.7373157149069282,acm_better_102,16,35.23,4219.801599999999,1.912051234595928,0.4888501338277657,0.3609610848489666,7.955977846317149,6.224904114850668,0.0187158229263345,0.9812841770736654
NGC6946,58,58,114.02281390299994,545.8546494696975,431.8318355666976,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,0.933254300796991,hyperleda_vizier,21.49818693053321,1.6799696499719647,67.99696499719647,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,,,,,,,0.3007246376811594,30.07246376811594,0.0856844936756683,0.9523649556570816,acm_better_102,58,14.31,2165.0409,2.466171257152441,1.584349399722016,0.7511535905776725,49.2858329618065,13.462130035352576,0.0163279356731142,0.9836720643268856
IC2574,34,34,136.3941085058351,551.1812075459843,414.7870990401492,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,"Sa96,MC94",0.457088189614875,hyperleda_vizier,66.72087737916742,1.0515304480944578,5.153044809445784,hyperleda_vizier,ok,,,,,,,,0.0511508951406649,5.115089514066496,1.0196850393700787,0.1340510325552507,acm_better_102,32,10.23,738.2089000000001,5.791210954553359,2.301767852624894,2.3876820119564,15.77893804476944,18.946396000520867,0.030465702862767,0.9695342971372328
NGC0801,13,13,81.72314578196345,487.7874516756337,406.0643058936702,5,80.7,8.07,1,80.0,1.0,312.57,3.455,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,"Sa96,Br92",0.2187761623949552,hyperleda_vizier,82.11152753573934,0.994215922711213,-0.5784077288787048,hyperleda_vizier,ok,,,,,,,,0.1,10.0,0.0742265732475925,0.3051221488090228,acm_better_102,13,59.82,4474.2721,10.776970407860343,1.120310736867116,1.15146353244198,4.19231407778858,4.368403020479752,0.0308184051114801,0.9691815948885198
NGC0891,18,18,240.69940835382275,639.2504359065276,398.5510275527049,3,9.91,0.5,2,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,Fr11,0.1995262314968879,hyperleda_vizier,80.76015249730887,1.0131457343234531,1.3145734323453118,hyperleda_vizier,ok,,,,,,,,0.0504540867810292,5.045408678102927,0.0322538672835044,0.6861976163014225,acm_better_102,11,14.4,2433.4489,2.5919552575819944,1.8268869082591452,1.8181896046801715,14.300230921118125,14.422516953241852,0.0232410743160168,0.9767589256839831
