Galaxy,ref_token,f_D,Qual,outer_resid_mean,inner_resid_mean,outer_minus_inner,n_points
F583-1,KN08,1,1,22.02339086702864,6.972460580915879,15.05093028611276,25
F563-1,KN08,1,1,36.03151092008723,29.002879338463018,7.028631581624211,17
UGC00191,KN08,1,1,-26.62918386585223,3.845595159347938,-30.474779025200167,9
UGC11820,KN08,1,1,-43.13721683943569,0.6752790585666588,-43.81249589800235,10
UGC07608,Sw02,1,1,31.836744566193502,17.596478412292907,14.240266153900595,8
UGC05721,Sw02,1,1,28.103478134237236,16.858603085549273,11.244875048687963,23
UGC07399,Sw02,1,1,30.163531143872575,21.749971725970358,8.413559417902217,10
UGC08490,Sw02,2,1,23.469561978448812,22.77681468682127,0.6927472916275406,30
UGC04325,Sw02,1,1,29.651534488603502,39.21226496575022,-9.56073047714672,8
UGC08286,Sw02,2,1,8.865554255861069,21.314277147540217,-12.448722891679148,17
UGC07608,Sw09,1,1,31.836744566193502,17.596478412292907,14.240266153900595,8
UGC07399,Sw09,1,1,30.163531143872575,21.749971725970358,8.413559417902217,10
UGC08490,Sw09,2,1,23.469561978448812,22.77681468682127,0.6927472916275406,30
UGC04325,Sw09,1,1,29.651534488603502,39.21226496575022,-9.56073047714672,8
UGC08286,Sw09,2,1,8.865554255861069,21.314277147540217,-12.448722891679148,17
F568-1,dB01,1,1,61.246100646160436,31.092684719576813,30.153415926583623,12
F568-V1,dB01,1,1,33.84181161512796,32.57723121985597,1.2645803952719916,15
F563-V2,dB01,1,1,21.768856267130275,24.0571391945378,-2.2882829274075256,10
F579-V1,dB01,1,1,5.308577281750224,35.21544472524382,-29.906867443493596,14
UGC05721,dB02,1,1,28.103478134237236,16.858603085549273,11.244875048687963,23
UGC01230,dB02,1,1,-6.845335894219471,31.762752942575275,-38.60808883679475,11
UGC05005,dB02,1,1,-78.33080206102862,-20.173070079345116,-58.157731981683504,11
F568-1,dB96,1,1,61.246100646160436,31.092684719576813,30.153415926583623,12
F565-V2,dB96,1,2,29.34084261105004,11.948022092111643,17.392820518938397,7
F583-1,dB96,1,1,22.02339086702864,6.972460580915879,15.05093028611276,25
F563-1,dB96,1,1,36.03151092008723,29.002879338463018,7.028631581624211,17
F568-V1,dB96,1,1,33.84181161512796,32.57723121985597,1.2645803952719916,15
F563-V2,dB96,1,1,21.768856267130275,24.0571391945378,-2.2882829274075256,10
F579-V1,dB96,1,1,5.308577281750224,35.21544472524382,-29.906867443493596,14
UGC05764,vZ97,1,2,12.906572321516858,20.49125859280536,-7.584686271288501,10
UGC00191,vZ97,1,1,-26.62918386585223,3.845595159347938,-30.474779025200167,9
UGC11820,vZ97,1,1,-43.13721683943569,0.6752790585666588,-43.81249589800235,10
