Galaxy,D_minus_eD,D_plus_eD,baseline,best_margin_shift,best_distance_mode,flipped_at_edge
UGC00128,-1157.087970945304,258.906107456144,-478.71043758970853,737.6165450458525,D_plus_eD,True
UGC00191,-449.27611530669884,-1709.806418058439,-1055.0392228752023,605.7631075685035,D_minus_eD,False
NGC6674,-525.9794034688248,559.3298770087443,-10.943281654137252,570.2731586628815,D_plus_eD,True
NGC5033,-471.1612646941108,489.0416324972719,-29.16466423983124,518.2062967371031,D_plus_eD,True
UGC05716,-662.5638387789336,193.32777257650247,-266.2263353890892,459.55410796559164,D_plus_eD,True
UGC06787,-707.7452234085542,102.69423511453866,-333.9020451248375,436.59628023937614,D_plus_eD,True
UGC11820,-326.3924938324245,-1092.9577753420506,-696.0437088654962,369.6512150330717,D_minus_eD,False
UGC02487,-791.1076363436786,-190.87763248392662,-505.2887139716369,314.4110814877103,D_plus_eD,False
UGC06786,-418.6611402174824,34.31965832471832,-210.09012674951902,244.40978507423733,D_plus_eD,True
UGC05764,-1236.114454259953,-918.0386836135037,-1115.6212509038915,197.58256729038771,D_plus_eD,False
NGC5985,-203.63060500714374,20.119130878043045,-100.53498054208512,120.65411142012817,D_plus_eD,True
DDO154,-493.54022229442575,-306.6726433910519,-401.51029688555707,94.83765349450516,D_plus_eD,False
DDO170,-103.69248010968784,52.14171157340638,-32.62787274920646,84.76958432261284,D_plus_eD,True
UGC02259,-154.17986716874816,-18.763022119299443,-93.79706970986732,75.03404759056787,D_plus_eD,False
ESO116-G012,-75.91177964655066,53.33736893196607,-16.72847046155504,70.06583939352112,D_plus_eD,True
UGC05986,-63.47561040608329,37.892707893253124,-17.155535632167123,55.04824352542025,D_plus_eD,True
UGC12732,-79.68584518082243,18.393486647305934,-35.366247233721154,53.75973388102709,D_plus_eD,True
UGC12632,-35.50515597263035,39.76407810209052,-0.8292934897552371,40.59337159184576,D_plus_eD,True
ESO563-G021,-41.34184188066094,32.717766020833885,-5.743870522357334,38.46163654319122,D_plus_eD,True
UGC08550,-58.24819717554421,10.78467973971054,-27.04127443203087,37.825954171741415,D_plus_eD,True
NGC2841,-101.31921166240849,-35.04114406370277,-69.17758753575222,34.13644347204946,D_plus_eD,False
UGCA442,-181.86391263602292,-243.56154863388278,-212.45825972612582,30.5943470901029,D_minus_eD,False
UGC04325,-77.74486258865777,-23.35487931105606,-53.93892020251089,30.584040891454833,D_plus_eD,False
NGC7814,-107.5687340763917,-54.52414705259219,-81.39340651965279,26.869259467060594,D_plus_eD,False
NGC0247,-68.633019804539,-17.079195716444836,-43.21593258738113,26.136736870936296,D_plus_eD,False
UGC07399,-103.28363129857297,-67.84842633551149,-89.0396513622765,21.19122502676501,D_plus_eD,False
UGC06446,-42.475121820167104,-8.866710592501843,-27.63150101722115,18.76479042471931,D_plus_eD,False
UGC00731,-40.27029868745061,-10.812139043710985,-27.33266824966502,16.520529205954034,D_plus_eD,False
UGC07603,-16.7148362050608,12.758834537037782,-3.204511252205944,15.963345789243725,D_plus_eD,True
UGC06983,-23.300281150327542,0.7398005377294474,-11.758357647321358,12.498158185050805,D_plus_eD,True
UGC10310,-10.56741093766167,9.058880138893798,-1.5656509002884977,10.624531039182296,D_plus_eD,True
F574-1,-18.77319055087813,-0.3596345758097197,-9.822259098291365,9.462624522481645,D_plus_eD,False
UGC08490,-34.663778626114464,-16.870341881770784,-26.107298024741663,9.236956142970879,D_plus_eD,False
UGC05721,-27.79053944540887,-11.902517442241862,-20.954702032903317,9.052184590661454,D_plus_eD,False
UGC07524,-14.329955435231621,2.2144127336341626,-6.166556903699782,8.380969637333944,D_plus_eD,True
UGC12506,-16.644112528764786,-3.2306597393337544,-10.132113435325518,6.901453695991764,D_plus_eD,False
UGC06399,-9.910955535037232,2.5662829131993767,-3.909821829980512,6.476104743179889,D_plus_eD,True
F583-1,-21.908605824943518,-12.226231337508578,-17.662434949448066,5.436203611939488,D_plus_eD,False
UGC08286,-65.10016380750669,-54.435670960960366,-59.82662390521056,5.390952944250195,D_plus_eD,False
UGC06667,-53.22130381257921,-45.70763851178796,-49.83843165059642,4.130793138808457,D_plus_eD,False
UGC07608,-15.145472990923837,-8.315142350220611,-12.28398042965418,3.968838079433569,D_plus_eD,False
F565-V2,-16.358538171733812,-9.148583454334641,-13.071893106770993,3.9233096524363518,D_plus_eD,False
UGC01230,-14.498653161527086,-21.718303375437944,-18.10839539285562,3.609742231328534,D_minus_eD,False
F563-1,-8.244721146788708,-4.490355131065523,-6.530034174928261,2.039679043862738,D_plus_eD,False
