Galaxy,distance_mode,D_nominal_mpc,e_D_mpc,D_test_mpc,distance_shift_mpc,distance_shift_sigma,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,n_valid_mond,geometry_qc_flag,geometry_qc_reason,Qual
F571-V1,baseline,80.1,8.0,80.1,0.0,0.0,4.508150700581189,4.06479897002139,-0.44335173055979915,7,missing,missing_ba_obs,2
F571-V1,D_minus_eD,80.1,8.0,72.1,-8.0,-1.0,3.539039961944418,1.8586932457024261,-1.680346716241992,7,missing,missing_ba_obs,2
F571-V1,D_plus_eD,80.1,8.0,88.1,8.0,1.0,6.159232484946634,7.018793601652425,0.859561116705791,7,missing,missing_ba_obs,2
UGC01281,baseline,5.27,0.24,5.27,0.0,0.0,3.9518914111758408,3.3091733011506124,-0.6427181100252284,25,ok,,1
UGC01281,D_minus_eD,5.27,0.24,5.029999999999999,-0.2400000000000002,-1.0000000000000009,4.294707822372164,2.7006965844581132,-1.5940112379140507,25,ok,,1
UGC01281,D_plus_eD,5.27,0.24,5.51,0.2400000000000002,1.0000000000000009,3.6744986489910003,4.005679367505427,0.33118071851442643,25,ok,,1
UGC12632,baseline,9.77,2.93,9.77,0.0,0.0,18.678602405658193,17.849308915902956,-0.8292934897552371,15,ok,,1
UGC12632,D_minus_eD,9.77,2.93,6.84,-2.9299999999999997,-0.9999999999999999,37.18242322513803,1.67726725250768,-35.50515597263035,15,ok,,1
UGC12632,D_plus_eD,9.77,2.93,12.7,2.9299999999999997,0.9999999999999999,16.458047926037413,56.22212602812793,39.76407810209052,15,ok,,1
NGC0300,baseline,2.08,0.1,2.08,0.0,0.0,8.75839880155394,7.465378508142602,-1.2930202934113373,25,review,large_velocity_shift,2
NGC0300,D_minus_eD,2.08,0.1,1.98,-0.10000000000000009,-1.0000000000000009,7.829589944241242,5.137488724533626,-2.6921012197076157,25,review,large_velocity_shift,2
NGC0300,D_plus_eD,2.08,0.1,2.18,0.10000000000000009,1.0000000000000009,10.280701554022214,10.422352045363528,0.14165049134131458,25,review,large_velocity_shift,2
UGC10310,baseline,15.2,4.6,15.2,0.0,0.0,10.865483946309073,9.299833046020575,-1.5656509002884977,7,review,large_velocity_shift;faceon_sensitive,1
UGC10310,D_minus_eD,15.2,4.6,10.6,-4.6,-1.0,11.25398996811009,0.6865790304484216,-10.56741093766167,7,review,large_velocity_shift;faceon_sensitive,1
UGC10310,D_plus_eD,15.2,4.6,19.799999999999997,4.599999999999998,0.9999999999999997,18.180097293559502,27.2389774324533,9.058880138893798,7,review,large_velocity_shift;faceon_sensitive,1
UGC07603,baseline,4.7,1.41,4.7,0.0,0.0,6.834560023321274,3.6300487711153306,-3.204511252205944,12,ok,,1
UGC07603,D_minus_eD,4.7,1.41,3.29,-1.4100000000000001,-1.0000000000000002,26.74354391738882,10.028707712328023,-16.7148362050608,12,ok,,1
UGC07603,D_plus_eD,4.7,1.41,6.11,1.4100000000000001,1.0000000000000002,1.2431687458968608,14.002003282934643,12.758834537037782,12,ok,,1
UGCA444,baseline,0.98,0.05,0.98,0.0,0.0,5.675067478038688,2.3785959495025093,-3.2964715285361788,36,ok,,2
UGCA444,D_minus_eD,0.98,0.05,0.9299999999999999,-0.050000000000000044,-1.0000000000000009,4.898021666133364,1.7701854263536994,-3.127836239779665,36,ok,,2
UGCA444,D_plus_eD,0.98,0.05,1.03,0.050000000000000044,1.0000000000000009,6.530566654780022,3.0654482487671335,-3.465118406012888,36,ok,,2
UGC06399,baseline,18.0,2.5,18.0,0.0,0.0,7.626170280439273,3.716348450458761,-3.909821829980512,9,ok,,1
