Galaxy,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,n_points,n_valid_mond,T,D,e_D,distance_rel_err,distance_rel_err_pct,f_D,Inc,e_Inc,L3.6,e_L3.6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Qual,Ref,ba_obs,geometry_source,inc_true_deg,k_inc,velocity_shift_pct,correction_source_used,geometry_qc_flag,geometry_qc_reason,geometry_mode,is_proxy_fallback
UGC05764,1252.971842622317,137.3505917184253,-1115.6212509038917,10,10,10,7.47,2.24,0.29986613119143246,29.986613119143247,1,60.0,10.0,0.085,0.006,1.2,9.31,1.17,33.79,0.163,3.51,0.0,0.0,2,vZ97,0.3890451449942806,hyperleda_vizier,72.06948450968507,0.9102349968485576,-8.976500315144243,hyperleda_vizier,review,large_inclination_delta,real_ba_obs,False
UGC00191,1181.4289479902618,126.38972511505942,-1055.0392228752023,9,9,9,17.1,5.1,0.29824561403508765,29.824561403508763,1,45.0,5.0,2.004,0.063,2.5,50.21,1.58,207.41,1.343,10.03,0.0,0.0,1,"KN08,vZ97",0.7762471166286917,hyperleda_vizier,40.62489186276407,1.0860120076844162,8.601200768441618,hyperleda_vizier,ok,,real_ba_obs,False
UGC11820,915.8814195509508,219.8377106854547,-696.0437088654962,10,10,9,18.1,5.43,0.29999999999999993,29.999999999999993,1,45.0,10.0,0.97,0.047,2.74,20.18,2.08,34.11,1.977,12.99,0.0,0.0,1,"KN08,vZ97",0.831763771102671,hyperleda_vizier,34.983151548424075,1.2333210538113182,23.332105381131814,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
UGC02487,514.2447093149954,8.955995343358415,-505.2887139716369,17,17,0,69.1,10.4,0.15050651230101303,15.050651230101304,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",0.7762471166286917,hyperleda_vizier,39.42127937958152,0.925620617154188,-7.437938284581214,hyperleda_vizier,review,faceon_sensitive,real_ba_obs,False
UGC00128,771.6829206657974,292.97248307608885,-478.7104375897085,22,22,8,64.5,9.7,0.1503875968992248,15.038759689922479,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",0.8709635899560807,hyperleda_vizier,30.49489417243797,1.652677964303876,65.2677964303876,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
DDO154,600.3146267539219,198.8043298683648,-401.51029688555707,12,12,10,4.04,0.2,0.04950495049504951,4.9504950495049505,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,"Be91,CB89",0.7413102413009175,hyperleda_vizier,43.88186026320149,1.2966361638985842,29.66361638985841,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
UGC06787,419.97827199999927,86.07622687516174,-333.9020451248375,71,71,2,21.3,5.32,0.24976525821596246,24.976525821596248,1,66.0,3.0,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,"No07,No05",0.6165950018614822,hyperleda_vizier,52.467781239696,1.1519961005524924,15.199610055249234,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
UGC05716,338.4289555459072,72.20262015681799,-266.2263353890892,12,12,9,21.3,5.3,0.2488262910798122,24.88262910798122,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,0.72443596007499,hyperleda_vizier,45.39375142343099,1.1363404747120265,13.63404747120265,hyperleda_vizier,review,large_velocity_shift,real_ba_obs,False
UGCA442,219.8320186070641,7.373758880938282,-212.45825972612585,8,8,9,4.35,0.22,0.05057471264367817,5.057471264367817,2,64.0,7.0,0.14,0.005,1.71,7.6,1.18,116.1,0.263,4.37,56.4,2.1,1,Co00,0.1737800828749375,hyperleda_vizier,90.0,0.898794046299167,-10.120595370083295,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
UGC06786,235.9273871781484,25.83726042862941,-210.09012674951904,45,45,0,29.3,7.32,0.24982935153583619,24.982935153583618,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",0.4897788193684462,hyperleda_vizier,61.42510510033484,1.0234588716154829,2.345887161548288,hyperleda_vizier,ok,,real_ba_obs,False
NGC5985,120.77749684944372,20.2425163073586,-100.53498054208512,33,33,3,39.7,9.9,0.24937027707808562,24.93702770780856,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",0.5011872336272722,hyperleda_vizier,60.64947875565176,0.9935615306158384,-0.6438469384161594,hyperleda_vizier,ok,,real_ba_obs,False
UGC02259,99.41364329275156,5.616573582884248,-93.79706970986732,8,8,8,10.5,3.1,0.29523809523809524,29.523809523809526,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,"Be91,Ca88",0.6918309709189365,hyperleda_vizier,48.22268456456979,0.8797425029342326,-12.025749706576738,hyperleda_vizier,review,large_velocity_shift,real_ba_obs,False
UGC07399,122.44629799140924,33.40664662913275,-89.0396513622765,10,10,8,8.43,2.53,0.3001186239620403,30.01186239620403,1,55.0,3.0,1.156,0.024,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,"Sw09,Sw02",0.72443596007499,hyperleda_vizier,45.39375142343099,1.1505761057440462,15.057610574404624,hyperleda_vizier,review,large_velocity_shift,real_ba_obs,False
NGC7814,104.83868246886998,23.4452759492172,-81.39340651965279,18,18,2,14.4,0.66,0.04583333333333334,4.583333333333334,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,0.4466835921509631,hyperleda_vizier,64.31680760317177,1.1096264363867785,10.96264363867785,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
NGC2841,71.75774364441476,2.58015610866254,-69.17758753575222,50,50,3,14.1,1.4,0.09929078014184396,9.929078014184396,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,"Di08,Be91",0.4897788193684462,hyperleda_vizier,61.42510510033484,1.1048780009577563,10.487800095775636,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
UGC08286,62.31006436679745,2.483440461586889,-59.82662390521056,17,17,6,6.5,0.21,0.03230769230769231,3.230769230769231,2,90.0,3.0,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,"Sw09,Sw02",0.1288249551693134,hyperleda_vizier,90.0,1.0,0.0,hyperleda_vizier,ok,,real_ba_obs,False
UGC04325,60.86660838003856,6.927688177527673,-53.93892020251089,8,8,9,9.6,2.88,0.3,30.0,1,41.0,3.0,2.026,0.035,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,"Sw09,Sw02",0.5623413251903491,hyperleda_vizier,58.652080877419145,0.7681973847947461,-23.18026152052539,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
UGC06667,63.887595311004524,14.049163660408103,-49.83843165059642,9,9,6,18.0,2.5,0.1388888888888889,13.88888888888889,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,"VS01,SV98",0.2951209226666385,hyperleda_vizier,77.09921955928279,1.0257392481636076,2.573924816360762,hyperleda_vizier,review,large_inclination_delta,real_ba_obs,False
NGC0247,87.84365392129392,44.62772133391279,-43.21593258738113,26,26,7,3.7,0.19,0.05135135135135135,5.135135135135135,2,74.0,3.0,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,"Sa96,Ca90",0.251188643150958,hyperleda_vizier,83.302428368436,0.9678668124996568,-3.2133187500343108,hyperleda_vizier,ok,,real_ba_obs,False
UGC12732,43.39363924571548,8.027392011994321,-35.366247233721154,16,16,9,13.2,4.0,0.30303030303030304,30.303030303030305,1,39.0,6.0,1.667,0.048,3.12,26.84,1.98,120.46,3.66,17.41,0.0,0.0,1,"Sw09,Sw02",0.9120108393559098,hyperleda_vizier,25.063201274559045,1.4855855950654044,48.55855950654045,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,real_ba_obs,False
D564-8,69.22278946894369,35.01324775318804,-34.20954171575565,6,6,10,8.79,0.28,0.031854379977246876,3.1854379977246876,2,63.0,7.0,0.033,0.004,0.72,10.11,0.61,21.13,0.029,0.0,0.0,0.0,2,Tr09,,hyperleda_not_found,66.95937545747276,0.968245836551854,-3.1754163448145856,catalog_inclination_proxy,missing,missing_ba_obs,proxy_fallback,True
DDO170,270.9659244740754,238.33805172486893,-32.62787274920646,8,8,10,15.4,4.62,0.3,30.0,1,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,"Be91,La90",0.309029543251359,hyperleda_vizier,79.18639690103143,0.9300607934455452,-6.993920655445485,hyperleda_vizier,review,large_inclination_delta,real_ba_obs,False
NGC5033,169.9185649761923,140.75390073636106,-29.16466423983124,22,22,5,15.7,4.7,0.2993630573248408,29.93630573248408,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",0.4265795188015926,hyperleda_vizier,66.65465406144807,0.995003352518053,-0.4996647481946947,hyperleda_vizier,ok,,real_ba_obs,False
UGC06446,28.513620598606053,0.8821195813849019,-27.63150101722115,17,17,7,12.0,3.6,0.3,30.0,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",0.72443596007499,hyperleda_vizier,45.01692286635052,1.0987258871768926,9.872588717689258,hyperleda_vizier,ok,,real_ba_obs,False
